code_name,Molecule,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,smiles
mol_1,Amigdalin,-0.974,1,457.432,7,3,7,202.32,-0.77,OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O 
mol_2,Fenfuram,-2.885,1,201.225,1,2,2,42.24,-3.3,Cc1occc1C(=O)Nc2ccccc2
mol_3,citral,-2.579,1,152.237,0,0,4,17.07,-2.06,CC(C)=CCCC(C)=CC(=O)
mol_4,Picene,-6.618,2,278.354,0,5,0,0,-7.87,c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43
mol_5,Thiophene,-2.232,2,84.143,0,1,0,0,-1.33,c1ccsc1
mol_6,benzothiazole,-2.733,2,135.191,0,2,0,12.89,-1.5,c2ccc1scnc1c2 
mol_7,"2,2,4,6,6'-PCB",-6.545,1,326.437,0,2,1,0,-7.32,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl
mol_8,Estradiol,-4.138,1,272.388,2,4,0,40.46,-5.03,CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O
mol_9,Dieldrin,-4.533,1,380.913,0,5,0,12.53,-6.29,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl
mol_10,Rotenone,-5.246,1,394.423,0,5,3,63.22,-4.42,COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C 
mol_11,2-pyrrolidone,0.243,1,85.106,1,1,0,29.1,1.07,O=C1CCCN1
mol_12,2-Chloronapthalene,-4.063,1,162.619,0,2,0,0,-4.14,Clc1ccc2ccccc2c1
mol_13,1-Pentene ,-2.01,1,70.135,0,0,2,0,-2.68,CCCC=C
mol_14,Primidone,-1.897,1,218.256,2,2,2,58.2,-2.64,CCC1(C(=O)NCNC1=O)c2ccccc2
mol_15,Tetradecane,-5.45,1,198.394,0,0,11,0,-7.96,CCCCCCCCCCCCCC
mol_16,2-Chloropropane,-1.585,1,78.542,0,0,0,0,-1.41,CC(C)Cl
mol_17,2-Methylbutanol,-1.027,1,88.15,1,0,2,20.23,-0.47,CCC(C)CO
mol_18,Benzonitrile,-2.03,1,103.124,0,1,0,23.79,-1,N#Cc1ccccc1
mol_19,Diazinon,-3.989,1,304.352,0,1,7,53.47,-3.64,CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C
mol_20,2-Undecanol,-3.096,1,172.312,1,0,8,20.23,-2.94,CCCCCCCCCC(C)O
mol_21,"2,2',3,4,6-PCB",-6.627,1,326.437,0,2,1,0,-7.43,Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl 
mol_22,Lenacil,-3.355,1,234.299,1,3,1,54.86,-4.594,O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3
mol_23,Phorate,-3.747,1,260.386,0,0,8,18.46,-4.11,CCOP(=S)(OCC)SCSCC
mol_24,Phenacetin,-2.342,1,179.219,1,1,3,38.33,-2.35,CCOc1ccc(NC(=O)C)cc1
mol_25,Dinitramine,-4.479,1,322.243,1,1,5,115.54,-5.47,CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O
mol_26,1-Heptanol,-1.751,1,116.204,1,0,5,20.23,-1.81,CCCCCCCO
mol_27,Theophylline,-1.452,1,180.167,1,2,0,72.68,-1.39,Cn1c(=O)n(C)c2nc[nH]c2c1=O
mol_28,Butethal,-1.974,1,212.249,2,1,4,75.27,-1.661,CCCCC1(CC)C(=O)NC(=O)NC1=O
mol_29,"P,P'-DDE",-6.553,1,318.03,0,2,2,0,-6.9,ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2
mol_30,Methyl octanoate,-2.608,1,158.241,0,0,6,26.3,-3.17,CCCCCCCC(=O)OC
mol_31,"1,4-Diethylbenzene ",-3.633,1,134.222,0,1,2,0,-3.75,CCc1ccc(CC)cc1
mol_32,Terbufos,-4.367,1,288.44,0,0,7,18.46,-4.755,CCOP(=S)(OCC)SCSC(C)(C)C
mol_33,Phenmedipham,-4.229,1,300.314,2,2,3,76.66,-4.805,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1
mol_34,"1,1-Dichloroethylene",-1.939,1,96.944,0,0,0,0,-1.64,ClC(=C)Cl
mol_35,1-Methylfluorene,-4.478,1,180.25,0,3,0,0,-5.22,Cc1cccc2c1Cc3ccccc32
mol_36,Valeraldehyde,-1.103,1,86.134,0,0,3,17.07,-0.85,CCCCC=O
mol_37,Diphenylamine,-3.857,2,169.227,1,2,2,12.03,-3.504,N(c1ccccc1)c2ccccc2
mol_38,Fenothiocarb,-3.297,1,253.367,0,1,6,29.54,-3.927,CN(C)C(=O)SCCCCOc1ccccc1
